
VOLTA 1
Ciclista   0: metro  55, raia  1
Ciclista  54: metro  34, raia  8
Ciclista  55: metro  63, raia  2
Ciclista  56: metro  63, raia  0
Ciclista  57: metro  33, raia  3
Ciclista  58: metro  67, raia  5
Ciclista  59: metro  35, raia  9
Ciclista  60: metro  67, raia  0
Ciclista  61: metro  67, raia  2
Ciclista  62: metro  34, raia  1
Ciclista  63: metro  34, raia  4
Ciclista  64: metro  36, raia  6
Ciclista  65: metro  71, raia  0
Ciclista  66: metro  36, raia  1
Ciclista  67: metro  71, raia  2
Ciclista  68: metro  36, raia  3
Ciclista  69: metro  73, raia  5
Ciclista  73: metro  38, raia  3
Ciclista  74: metro  38, raia  4

VOLTA 3
Ciclista   0: metro  39, raia  8
Ciclista   1: metro  60, raia  3
Ciclista   2: metro  61, raia  4
Ciclista   3: metro  61, raia  5
Ciclista   4: metro  51, raia  8
Ciclista   5: metro  59, raia  1
Ciclista   6: metro  22, raia  5
Ciclista   7: metro  45, raia  8
Ciclista   8: metro  63, raia  6
Ciclista   9: metro  64, raia  5
Ciclista  10: metro  57, raia  1
Ciclista  11: metro  59, raia  0
Ciclista  12: metro  25, raia  6
Ciclista  13: metro  59, raia  4
Ciclista  14: metro  65, raia  8
Ciclista  15: metro  61, raia  2
Ciclista  16: metro  61, raia  3
Ciclista  17: metro  26, raia  7
Ciclista  18: metro  28, raia  5
Ciclista  19: metro  66, raia  9
Ciclista  20: metro  63, raia  0
Ciclista  21: metro  62, raia  0
Ciclista  22: metro  51, raia  4
Ciclista  23: metro  27, raia  6
Ciclista  24: metro  67, raia  8
Ciclista  25: metro  63, raia  1
Ciclista  26: metro  49, raia  4
Ciclista  27: metro  65, raia  1
Ciclista  28: metro  59, raia  7
Ciclista  29: metro  31, raia  9
Ciclista  30: metro  65, raia  0
Ciclista  31: metro  59, raia  6
Ciclista  32: metro  54, raia  3
Ciclista  33: metro  61, raia  7
Ciclista  34: metro  56, raia  7
Ciclista  35: metro  67, raia  1
Ciclista  36: metro  67, raia  4
Ciclista  37: metro  31, raia  5
Ciclista  38: metro  69, raia  8
Ciclista  39: metro  65, raia  9
Ciclista  40: metro  57, raia  6
Ciclista  41: metro  61, raia  1
Ciclista  42: metro  63, raia  7
Ciclista  43: metro  70, raia  7
Ciclista  44: metro  71, raia  7
Ciclista  45: metro  69, raia  2
Ciclista  46: metro  65, raia  2
Ciclista  47: metro  65, raia  7
Ciclista  48: metro  67, raia  7
Ciclista  49: metro  72, raia  9
Ciclista  50: metro  69, raia  1
Ciclista  51: metro  71, raia  1
Ciclista  52: metro  35, raia  2
Ciclista  53: metro  69, raia  7
Ciclista  54: metro  73, raia  8
Ciclista  55: metro  67, raia  2
Ciclista  56: metro  34, raia  0
Ciclista  57: metro  72, raia  3
Ciclista  58: metro  36, raia  5
Ciclista  59: metro  74, raia  9
Ciclista  60: metro  57, raia  0
Ciclista  61: metro  71, raia  3
Ciclista  62: metro  73, raia  1
Ciclista  63: metro  73, raia  4
Ciclista  64: metro   0, raia  6
Ciclista  65: metro  58, raia  0
Ciclista  66: metro   0, raia  1
Ciclista  67: metro   0, raia  5
Ciclista  68: metro   0, raia  3
Ciclista  69: metro  39, raia  5
Ciclista  73: metro   4, raia  3
Ciclista  74: metro   2, raia  4

VOLTA 4
Ciclista   0: metro  20, raia  8
Ciclista   1: metro  46, raia  5
Ciclista   2: metro  24, raia  4
Ciclista   3: metro  47, raia  6
Ciclista   4: metro  50, raia  9
Ciclista   5: metro  43, raia  2
Ciclista   6: metro  59, raia  5
Ciclista   7: metro  45, raia  9
Ciclista   8: metro  51, raia  6
Ciclista   9: metro  53, raia  5
Ciclista  10: metro  20, raia  2
Ciclista  11: metro  22, raia  0
Ciclista  12: metro  63, raia  6
Ciclista  13: metro  22, raia  6
Ciclista  14: metro  27, raia  8
Ciclista  15: metro  47, raia  2
Ciclista  16: metro  47, raia  5
Ciclista  17: metro  63, raia  7
Ciclista  18: metro  65, raia  5
Ciclista  19: metro  57, raia  9
Ciclista  20: metro  26, raia  0
Ciclista  21: metro  25, raia  1
Ciclista  22: metro  51, raia  9
Ciclista  23: metro  65, raia  6
Ciclista  24: metro  30, raia  7
Ciclista  25: metro  51, raia  5
Ciclista  26: metro  25, raia  6
Ciclista  27: metro  55, raia  5
Ciclista  28: metro  58, raia  9
Ciclista  29: metro  68, raia  9
Ciclista  30: metro  55, raia  0
Ciclista  31: metro  59, raia  9
Ciclista  32: metro  23, raia  5
Ciclista  33: metro  31, raia  7
Ciclista  34: metro  56, raia  6
Ciclista  35: metro  30, raia  1
Ciclista  36: metro  59, raia  6
Ciclista  37: metro  68, raia  5
Ciclista  38: metro  63, raia  9
Ciclista  39: metro  65, raia  9
Ciclista  40: metro  55, raia  9
Ciclista  41: metro  61, raia  6
Ciclista  42: metro  32, raia  7
Ciclista  43: metro  64, raia  9
Ciclista  44: metro  34, raia  7
Ciclista  45: metro  32, raia  3
Ciclista  46: metro  33, raia  3
Ciclista  47: metro  65, raia  8
Ciclista  48: metro  33, raia  9
Ciclista  49: metro  69, raia  7
Ciclista  50: metro  32, raia  1
Ciclista  51: metro  67, raia  2
Ciclista  52: metro  72, raia  2
Ciclista  53: metro  35, raia  8
Ciclista  54: metro  71, raia  8
Ciclista  55: metro  34, raia  4
Ciclista  56: metro  71, raia  0
Ciclista  57: metro  35, raia  3
Ciclista  58: metro  73, raia  5
Ciclista  59: metro  72, raia  8
Ciclista  60: metro  29, raia  3
Ciclista  61: metro  69, raia  8
Ciclista  62: metro  71, raia  2
Ciclista  63: metro  71, raia  3
Ciclista  64: metro  74, raia  8
Ciclista  65: metro  42, raia  2
Ciclista  66: metro  38, raia  1
Ciclista  68: metro  38, raia  3
Ciclista  69: metro   2, raia  5
Ciclista  73: metro   4, raia  3
Ciclista  74: metro  40, raia  4

VOLTA 5
Ciclista   0: metro  65, raia  8
Ciclista   1: metro  61, raia  4
Ciclista   2: metro  69, raia  4
Ciclista   3: metro  60, raia  9
Ciclista   4: metro  59, raia  9
Ciclista   5: metro  29, raia  2
Ciclista   6: metro  58, raia  4
Ciclista   7: metro  30, raia  8
Ciclista   8: metro  32, raia  9
Ciclista   9: metro  33, raia  9
Ciclista  10: metro  65, raia  2
Ciclista  11: metro  67, raia  0
Ciclista  12: metro  33, raia  6
Ciclista  13: metro  67, raia  7
Ciclista  14: metro  72, raia  8
Ciclista  15: metro  31, raia  2
Ciclista  16: metro  62, raia  9
Ciclista  17: metro  66, raia  6
Ciclista  18: metro  35, raia  5
Ciclista  19: metro  72, raia  9
Ciclista  20: metro  71, raia  0
Ciclista  21: metro  70, raia  1
Ciclista  22: metro  33, raia  8
Ciclista  23: metro  35, raia  6
Ciclista  24: metro   0, raia  7
Ciclista  25: metro  33, raia  4
Ciclista  26: metro  70, raia  6
Ciclista  27: metro  35, raia  8
Ciclista  28: metro  37, raia  7
Ciclista  29: metro  37, raia  8
Ciclista  30: metro  70, raia  3
Ciclista  31: metro  73, raia  7
Ciclista  32: metro  68, raia  5
Ciclista  33: metro   1, raia  8
Ciclista  34: metro  71, raia  7
Ciclista  35: metro   0, raia  1
Ciclista  36: metro  74, raia  9
Ciclista  37: metro  38, raia  5
Ciclista  38: metro   0, raia  9
Ciclista  39: metro  40, raia  7
Ciclista  40: metro  35, raia  9
Ciclista  41: metro   0, raia  8
Ciclista  42: metro   3, raia  7
Ciclista  43: metro  38, raia  9
Ciclista  44: metro   7, raia  7
Ciclista  45: metro   3, raia  4
Ciclista  46: metro   5, raia  3
Ciclista  47: metro  40, raia  6
Ciclista  48: metro   5, raia  9
Ciclista  49: metro  40, raia  8
Ciclista  50: metro   3, raia  1
Ciclista  51: metro  41, raia  2
Ciclista  52: metro   5, raia  5
Ciclista  53: metro   5, raia  8
Ciclista  54: metro  42, raia  8
Ciclista  55: metro   4, raia  4
Ciclista  56: metro  41, raia  0
Ciclista  57: metro   9, raia  3
Ciclista  58: metro  43, raia  5
Ciclista  59: metro  44, raia  8
Ciclista  60: metro  74, raia  3
Ciclista  61: metro  42, raia  7
Ciclista  62: metro  43, raia  1
Ciclista  63: metro  43, raia  3
Ciclista  64: metro  14, raia  9
Ciclista  65: metro  57, raia  4
Ciclista  66: metro  15, raia  1
Ciclista  68: metro  15, raia  3
Ciclista  69: metro  17, raia  9
Ciclista  73: metro  19, raia  5
Ciclista  74: metro  10, raia  4

VOLTA 6
Ciclista   0: metro  36, raia  8
Ciclista   1: metro  40, raia  5
Ciclista   2: metro   3, raia  6
Ciclista   3: metro  39, raia  9
Ciclista   4: metro  39, raia  8
Ciclista   5: metro   1, raia  2
Ciclista   6: metro   1, raia  6
Ciclista   7: metro   2, raia  8
Ciclista   8: metro   7, raia  7
Ciclista   9: metro   4, raia  9
Ciclista  10: metro  72, raia  2
Ciclista  11: metro  38, raia  0
Ciclista  12: metro   4, raia  6
Ciclista  13: metro  38, raia  7
Ciclista  14: metro  44, raia  9
Ciclista  15: metro   3, raia  2
Ciclista  16: metro  40, raia  9
Ciclista  17: metro  44, raia  8
Ciclista  18: metro  13, raia  4
Ciclista  19: metro  45, raia  8
Ciclista  20: metro  42, raia  0
Ciclista  21: metro  42, raia  1
Ciclista  22: metro   9, raia  6
Ciclista  23: metro   6, raia  6
Ciclista  24: metro   8, raia  8
Ciclista  25: metro   5, raia  4
Ciclista  26: metro  41, raia  6
Ciclista  27: metro   7, raia  8
Ciclista  28: metro  16, raia  4
Ciclista  29: metro   8, raia  7
Ciclista  30: metro  44, raia  3
Ciclista  31: metro  46, raia  7
Ciclista  32: metro  39, raia  6
Ciclista  33: metro  10, raia  6
Ciclista  34: metro  45, raia  7
Ciclista  35: metro   9, raia  1
Ciclista  36: metro  46, raia  9
Ciclista  37: metro  11, raia  7
Ciclista  38: metro  47, raia  9
Ciclista  39: metro  12, raia  6
Ciclista  40: metro   7, raia  9
Ciclista  41: metro  47, raia  8
Ciclista  42: metro  10, raia  9
Ciclista  43: metro  10, raia  8
Ciclista  44: metro  13, raia  9
Ciclista  45: metro  11, raia  8
Ciclista  46: metro  12, raia  3
Ciclista  47: metro  12, raia  5
Ciclista  48: metro  12, raia  7
Ciclista  49: metro  23, raia  7
Ciclista  50: metro  21, raia  1
Ciclista  51: metro  25, raia  3
Ciclista  52: metro  51, raia  5
Ciclista  53: metro  51, raia  8
Ciclista  54: metro  14, raia  8
Ciclista  55: metro  50, raia  4
Ciclista  56: metro  25, raia  0
Ciclista  57: metro  14, raia  3
Ciclista  58: metro  29, raia  5
Ciclista  59: metro  15, raia  8
Ciclista  60: metro   8, raia  3
Ciclista  61: metro  27, raia  7
Ciclista  62: metro  29, raia  1
Ciclista  63: metro  29, raia  3
Ciclista  64: metro  11, raia  6
Ciclista  66: metro  17, raia  2
Ciclista  68: metro  33, raia  5
Ciclista  69: metro   9, raia  9
Ciclista  73: metro  19, raia  4
Ciclista  74: metro  56, raia  4

VOLTA 7
Ciclista   0: metro  52, raia  7
Ciclista   1: metro  61, raia  7
Ciclista   2: metro  69, raia  6
Ciclista   3: metro  60, raia  8
Ciclista   4: metro  52, raia  8
Ciclista   5: metro  29, raia  5
Ciclista   6: metro  67, raia  6
Ciclista   7: metro  68, raia  8
Ciclista   8: metro  63, raia  7
Ciclista   9: metro  70, raia  9
Ciclista  10: metro  65, raia  2
Ciclista  11: metro  58, raia  1
Ciclista  12: metro  70, raia  6
Ciclista  13: metro  28, raia  6
Ciclista  14: metro  35, raia  9
Ciclista  15: metro  69, raia  2
Ciclista  16: metro  57, raia  8
Ciclista  17: metro   2, raia  8
Ciclista  18: metro  35, raia  4
Ciclista  19: metro  36, raia  8
Ciclista  20: metro  33, raia  0
Ciclista  21: metro  65, raia  1
Ciclista  22: metro  65, raia  7
Ciclista  23: metro  72, raia  6
Ciclista  24: metro  73, raia  8
Ciclista  25: metro  71, raia  4
Ciclista  26: metro  32, raia  6
Ciclista  27: metro  58, raia  7
Ciclista  28: metro  37, raia  4
Ciclista  29: metro  74, raia  7
Ciclista  30: metro  35, raia  3
Ciclista  31: metro  73, raia  7
Ciclista  32: metro  50, raia  7
Ciclista  33: metro  32, raia  8
Ciclista  35: metro   0, raia  1
Ciclista  36: metro  74, raia  6
Ciclista  37: metro  54, raia  7
Ciclista  38: metro   0, raia  6
Ciclista  39: metro   5, raia  6
Ciclista  40: metro  72, raia  9
Ciclista  41: metro   0, raia  9
Ciclista  42: metro   2, raia  9
Ciclista  43: metro  30, raia  8
Ciclista  44: metro   5, raia  9
Ciclista  45: metro   1, raia  9
Ciclista  48: metro   3, raia  7
Ciclista  49: metro  35, raia  7
Ciclista  51: metro  41, raia  5
Ciclista  52: metro   9, raia  6
Ciclista  53: metro   9, raia  9
Ciclista  54: metro   5, raia  8
Ciclista  55: metro   4, raia  4
Ciclista  56: metro   4, raia  2
Ciclista  57: metro   5, raia  3
Ciclista  58: metro  11, raia  9
Ciclista  59: metro  12, raia  8
Ciclista  60: metro  74, raia  3
Ciclista  61: metro  36, raia  9
Ciclista  62: metro   6, raia  4
Ciclista  63: metro  43, raia  6
Ciclista  64: metro   2, raia  6
Ciclista  66: metro   8, raia  2
Ciclista  68: metro  15, raia  9
Ciclista  69: metro  30, raia  7
Ciclista  73: metro  19, raia  4
Ciclista  74: metro  10, raia  5

VOLTA 8
Ciclista   0: metro  28, raia  8
Ciclista   1: metro  64, raia  9
Ciclista   2: metro  33, raia  6
Ciclista   3: metro  32, raia  9
Ciclista   4: metro  28, raia  9
Ciclista   5: metro  68, raia  5
Ciclista   6: metro  61, raia  9
Ciclista   7: metro  32, raia  8
Ciclista   8: metro  33, raia  7
Ciclista   9: metro  67, raia  8
Ciclista  10: metro  29, raia  2
Ciclista  11: metro  31, raia  1
Ciclista  12: metro  68, raia  7
Ciclista  13: metro  66, raia  6
Ciclista  14: metro  17, raia  8
Ciclista  15: metro  33, raia  2
Ciclista  16: metro  30, raia  8
Ciclista  17: metro   5, raia  8
Ciclista  18: metro  74, raia  4
Ciclista  19: metro   0, raia  7
Ciclista  20: metro  72, raia  0
Ciclista  21: metro  68, raia  1
Ciclista  22: metro  68, raia  9
Ciclista  23: metro  72, raia  9
Ciclista  24: metro  37, raia  8
Ciclista  25: metro  69, raia  8
Ciclista  26: metro  71, raia  6
Ciclista  28: metro   1, raia  4
Ciclista  29: metro  74, raia  8
Ciclista  30: metro  74, raia  3
Ciclista  31: metro  38, raia  6
Ciclista  32: metro  53, raia  9
Ciclista  33: metro  71, raia  8
Ciclista  35: metro   1, raia  1
Ciclista  36: metro   1, raia  6
Ciclista  37: metro  29, raia  7
Ciclista  39: metro   6, raia  7
Ciclista  40: metro  36, raia  9
Ciclista  42: metro   2, raia  8
Ciclista  43: metro  69, raia  9
Ciclista  44: metro   7, raia  6
Ciclista  45: metro   1, raia  8
Ciclista  48: metro  42, raia  7
Ciclista  49: metro  74, raia  7
Ciclista  51: metro  10, raia  5
Ciclista  52: metro  11, raia  8
Ciclista  53: metro   2, raia  9
Ciclista  54: metro  44, raia  8
Ciclista  55: metro  43, raia  4
Ciclista  56: metro  43, raia  2
Ciclista  57: metro  44, raia  3
Ciclista  58: metro   8, raia  7
Ciclista  59: metro  15, raia  8
Ciclista  61: metro   0, raia  9
Ciclista  62: metro  45, raia  4
Ciclista  64: metro  41, raia  7
Ciclista  66: metro  47, raia  2
Ciclista  68: metro  13, raia  8
Ciclista  69: metro  69, raia  7
Ciclista  73: metro  11, raia  7
Ciclista  74: metro  49, raia  5

VOLTA 9
Ciclista   0: metro  26, raia  8
Ciclista   1: metro  69, raia  7
Ciclista   2: metro  63, raia  7
Ciclista   3: metro  30, raia  9
Ciclista   4: metro  26, raia  9
Ciclista   5: metro  30, raia  5
Ciclista   6: metro  67, raia  9
Ciclista   7: metro  61, raia  7
Ciclista   8: metro  64, raia  7
Ciclista   9: metro  33, raia  8
Ciclista  10: metro  55, raia  3
Ciclista  13: metro  65, raia  6
Ciclista  14: metro   3, raia  7
Ciclista  15: metro  63, raia  3
Ciclista  16: metro  58, raia  7
Ciclista  17: metro  68, raia  7
Ciclista  19: metro  70, raia  8
Ciclista  20: metro  71, raia  0
Ciclista  21: metro  71, raia  1
Ciclista  22: metro  71, raia  7
Ciclista  23: metro  35, raia  7
Ciclista  24: metro  72, raia  8
Ciclista  25: metro  71, raia  9
Ciclista  28: metro  37, raia  4
Ciclista  31: metro  37, raia  6
Ciclista  32: metro  63, raia  9
Ciclista  33: metro  39, raia  8
Ciclista  35: metro   0, raia  1
Ciclista  36: metro   0, raia  6
Ciclista  37: metro  28, raia  9
Ciclista  39: metro  40, raia  7
Ciclista  40: metro  69, raia  5
Ciclista  42: metro   1, raia  8
Ciclista  44: metro  40, raia  5
Ciclista  45: metro  74, raia  9
Ciclista  48: metro   5, raia  8
Ciclista  49: metro  73, raia  7
Ciclista  51: metro   4, raia  9
Ciclista  52: metro  42, raia  5
Ciclista  53: metro   0, raia  8
Ciclista  54: metro  43, raia  8
Ciclista  55: metro  42, raia  4
Ciclista  56: metro   8, raia  3
Ciclista  57: metro  10, raia  3
Ciclista  58: metro  29, raia  8
Ciclista  59: metro  43, raia  9
Ciclista  61: metro  37, raia  9
Ciclista  62: metro  12, raia  4
Ciclista  64: metro   2, raia  9
Ciclista  66: metro  46, raia  2
Ciclista  68: metro  40, raia  9
Ciclista  69: metro  68, raia  6
Ciclista  73: metro  20, raia  7
Ciclista  74: metro  20, raia  5

VOLTA 10
Ciclista   0: metro  63, raia  8
Ciclista   1: metro  62, raia  8
Ciclista   2: metro  31, raia  9
Ciclista   3: metro  67, raia  9
Ciclista   4: metro  63, raia  9
Ciclista   5: metro  67, raia  5
Ciclista   6: metro  59, raia  8
Ciclista   7: metro  31, raia  7
Ciclista   8: metro  32, raia  9
Ciclista   9: metro  70, raia  8
Ciclista  10: metro  28, raia  3
Ciclista  14: metro  41, raia  7
Ciclista  15: metro  63, raia  3
Ciclista  16: metro  29, raia  7
Ciclista  17: metro  68, raia  7
Ciclista  19: metro  35, raia  9
Ciclista  20: metro  67, raia  0
Ciclista  21: metro  66, raia  1
Ciclista  22: metro  62, raia  9
Ciclista  23: metro  73, raia  7
Ciclista  24: metro  65, raia  7
Ciclista  25: metro  34, raia  9
Ciclista  28: metro   0, raia  4
Ciclista  31: metro   0, raia  6
Ciclista  32: metro  51, raia  8
Ciclista  33: metro  20, raia  7
Ciclista  35: metro   0, raia  1
Ciclista  36: metro  38, raia  6
Ciclista  37: metro  65, raia  9
Ciclista  39: metro   2, raia  7
Ciclista  40: metro  35, raia  5
Ciclista  42: metro   1, raia  8
Ciclista  44: metro   3, raia  5
Ciclista  45: metro  36, raia  9
Ciclista  48: metro  71, raia  7
Ciclista  49: metro  35, raia  7
Ciclista  51: metro  42, raia  9
Ciclista  52: metro   9, raia  5
Ciclista  54: metro   5, raia  8
Ciclista  55: metro   8, raia  4
Ciclista  56: metro   4, raia  2
Ciclista  57: metro   5, raia  3
Ciclista  58: metro  66, raia  8
Ciclista  59: metro  10, raia  9
Ciclista  61: metro  74, raia  9
Ciclista  62: metro   6, raia  6
Ciclista  64: metro  39, raia  9
Ciclista  66: metro  16, raia  2
Ciclista  68: metro   5, raia  9
Ciclista  69: metro  30, raia  6
Ciclista  73: metro  19, raia  7
Ciclista  74: metro  20, raia  8

VOLTA 11
Ciclista   0: metro  29, raia  8
Ciclista   1: metro  69, raia  9
Ciclista   2: metro  72, raia  9
Ciclista   3: metro  33, raia  9
Ciclista   4: metro  29, raia  9
Ciclista   5: metro  66, raia  8
Ciclista   6: metro  66, raia  9
Ciclista   7: metro  72, raia  7
Ciclista   8: metro  73, raia  9
Ciclista   9: metro  36, raia  8
Ciclista  10: metro  69, raia  3
Ciclista  14: metro   7, raia  7
Ciclista  15: metro  70, raia  4
Ciclista  16: metro  70, raia  7
Ciclista  17: metro   0, raia  8
Ciclista  19: metro   2, raia  9
Ciclista  20: metro  74, raia  0
Ciclista  21: metro  73, raia  1
Ciclista  22: metro  28, raia  9
Ciclista  23: metro   1, raia  8
Ciclista  24: metro  72, raia  8
Ciclista  25: metro   0, raia  9
Ciclista  28: metro  41, raia  4
Ciclista  31: metro   3, raia  8
Ciclista  32: metro  29, raia  7
Ciclista  33: metro  61, raia  7
Ciclista  35: metro   4, raia  1
Ciclista  36: metro   7, raia  6
Ciclista  37: metro  31, raia  9
Ciclista  39: metro  43, raia  7
Ciclista  40: metro   1, raia  5
Ciclista  42: metro  42, raia  8
Ciclista  44: metro  44, raia  5
Ciclista  45: metro   4, raia  9
Ciclista  48: metro  39, raia  8
Ciclista  49: metro   1, raia  7
Ciclista  51: metro  15, raia  9
Ciclista  52: metro   8, raia  6
Ciclista  54: metro  46, raia  8
Ciclista  55: metro   8, raia  4
Ciclista  56: metro  45, raia  2
Ciclista  57: metro  46, raia  3
Ciclista  58: metro  64, raia  9
Ciclista  59: metro   9, raia  8
Ciclista  61: metro   2, raia  8
Ciclista  62: metro  47, raia  6
Ciclista  64: metro   5, raia  9
Ciclista  66: metro  23, raia  2
Ciclista  68: metro  12, raia  9
Ciclista  69: metro  71, raia  6
Ciclista  73: metro  13, raia  8
Ciclista  74: metro  27, raia  8

VOLTA 12
Ciclista   0: metro  29, raia  9
Ciclista   1: metro  72, raia  8
Ciclista   2: metro  34, raia  6
Ciclista   3: metro  66, raia  9
Ciclista   4: metro  58, raia  8
Ciclista   5: metro  66, raia  7
Ciclista   6: metro  28, raia  8
Ciclista   7: metro  68, raia  5
Ciclista   8: metro  70, raia  7
Ciclista   9: metro  72, raia  9
Ciclista  10: metro  31, raia  3
Ciclista  14: metro   7, raia  8
Ciclista  15: metro  70, raia  5
Ciclista  16: metro  65, raia  5
Ciclista  17: metro  73, raia  9
Ciclista  19: metro  39, raia  6
Ciclista  20: metro   0, raia  0
Ciclista  21: metro  37, raia  2
Ciclista  22: metro  27, raia  7
Ciclista  23: metro   0, raia  9
Ciclista  24: metro  56, raia  7
Ciclista  25: metro   0, raia  7
Ciclista  28: metro   6, raia  5
Ciclista  31: metro   6, raia  8
Ciclista  32: metro  58, raia  5
Ciclista  33: metro  23, raia  7
Ciclista  35: metro   4, raia  1
Ciclista  36: metro  41, raia  6
Ciclista  37: metro  31, raia  9
Ciclista  39: metro  11, raia  8
Ciclista  40: metro   1, raia  5
Ciclista  42: metro   8, raia  7
Ciclista  44: metro  12, raia  5
Ciclista  45: metro   2, raia  8
Ciclista  48: metro   0, raia  8
Ciclista  49: metro   1, raia  7
Ciclista  51: metro  57, raia  9
Ciclista  52: metro  16, raia  6
Ciclista  54: metro   7, raia  9
Ciclista  55: metro   8, raia  4
Ciclista  56: metro  15, raia  2
Ciclista  57: metro   9, raia  3
Ciclista  58: metro  70, raia  9
Ciclista  59: metro   9, raia  9
Ciclista  61: metro   2, raia  9
Ciclista  62: metro  10, raia  7
Ciclista  64: metro   5, raia  9
Ciclista  66: metro  49, raia  4
Ciclista  69: metro  58, raia  7
Ciclista  73: metro  26, raia  8
Ciclista  74: metro  60, raia  7

VOLTA 13
Ciclista   0: metro  16, raia  9
Ciclista   1: metro  22, raia  7
